longitude,latitude,deff
-153.49,61.562,-23
-154.06,61.627,-13
-154.35,61.659,8.3
-153.33,61.544,22
-153.86,61.605,-35
-153.92,61.612,-35
-154.06,61.627,-16
-154.06,61.627,-21
-153.33,61.543,22
-153.59,61.574,-2
-154.3,61.654,19
-153.47,61.56,-3
-153.97,61.617,-18
-153.42,61.555,10
-154.06,61.628,-18
-153.79,61.598,9.3
-154.07,61.629,-21
-153.35,61.546,18
-153.49,61.563,-1
-153.44,61.558,-18
-153.98,61.619,-16
-154.29,61.653,-16
-154.07,61.63,-11
-154.08,61.63,14
-154.08,61.63,-0
-154.37,61.663,1.8
-154.07,61.629,-21
-153.37,61.549,14
-154.08,61.631,12
-154.08,61.63,4.4
-153.36,61.549,3
-154.11,61.633,-7
-154.08,61.63,-4
-154.3,61.655,7.7
-154.2,61.644,-4
-154.44,61.671,2.5
-153.88,61.608,-22
-153.79,61.598,-7
-153.44,61.558,-4
-153.73,61.592,3.9
-153.98,61.62,-22
-154.31,61.656,7.3
-153.79,61.599,-12
-153.34,61.547,11
-154.07,61.631,-14
-154.35,61.661,-0
-153.88,61.609,-34
-153.48,61.564,-20
-154.06,61.629,-19
-153.69,61.587,12
-153.92,61.614,-24
-154.35,61.661,10
-154.29,61.655,3.2
-153.55,61.572,-13
-153.44,61.559,-11
-154.34,61.661,9.6
-154.29,61.655,13
-153.36,61.55,10
-153.88,61.609,-19
-153.37,61.551,3.8
-154.33,61.66,21
-153.56,61.573,-5
-154.41,61.669,-6
-153.33,61.546,23
-154.37,61.665,7.8
-153.75,61.595,-12
-153.43,61.558,-3
-153.42,61.558,12
-154.31,61.658,6.5
-153.45,61.561,-14
-153.42,61.558,11
-153.35,61.55,3
-153.36,61.55,17
-153.94,61.617,-15
-154.29,61.656,-1
-153.95,61.619,-8
-153.78,61.6,-15
-153.78,61.6,-13
-153.72,61.593,-15
-153.42,61.559,-5
-153.58,61.578,-9
